Rank,Athlete,Nation,Bodyweight,Snatch,Clean & Jerk,Total,Year
1,Halil Mutlu ,Turkey,53.91,132.5,155.0,287.5,1996
2,Zhang Xiangsen ,China,53.39,130.0,150.0,280.0,1996
3,Sevdalin Minchev ,Bulgaria,54.0,125.0,152.5,277.5,1996
4,Lan Shizhang ,China,53.61,125.0,150.0,275.0,1996
5,Traian Cihărean ,Romania,53.9,120.0,145.0,265.0,1996
6,Ivan Ivanov ,Bulgaria,53.9,112.5,145.0,257.5,1996
7,Ko Kwang-ku ,South Korea,53.89,115.0,140.0,255.0,1996
8,Juan Fernández ,Colombia,53.94,110.0,145.0,255.0,1996
9,Wang Shin-yuan ,Chinese Taipei,53.56,105.0,145.0,250.0,1996
10,Toshiyuki Notomi ,Japan,53.6,110.0,140.0,250.0,1996
11,Eric Bonnel ,France,53.68,115.0,135.0,250.0,1996
12,Hari Setiawan ,Indonesia,53.9,105.0,145.0,250.0,1996
13,Marek Gorzelniak ,Poland,53.85,107.5,137.5,245.0,1996
14,Viktor Yansky ,Uzbekistan,53.94,107.5,135.0,242.5,1996
15,Giovanni Scarantino ,Italy,53.89,110.0,130.0,240.0,1996
16,Nelson Castro ,Colombia,53.05,105.0,130.0,235.0,1996
17,Johnny Nguyen ,Australia,54.0,100.0,132.5,232.5,1996
18,Badathala Adisekhar ,India,53.93,105.0,125.0,230.0,1996
19,Vladimirs Morozovs ,Latvia,53.81,100.0,122.5,222.5,1996
20,Luis Medrano ,Guatemala,53.41,100.0,120.0,220.0,1996
21,Gino Soupprayen Padiatty ,Mauritius,53.43,95.0,105.0,200.0,1996
1,Tang Lingsheng ,China,58.61,137.5,170.0,307.5,1996
2,Leonidas Sabanis ,Greece,58.53,137.5,167.5,305.0,1996
3,Nikolay Peshalov ,Bulgaria,58.88,137.5,165.0,302.5,1996
4,Hiroshi Ikehata ,Japan,58.66,132.5,165.0,297.5,1996
5,William Vargas ,Cuba,58.73,135.0,162.5,297.5,1996
6,Xu Dong ,China,58.6,132.5,162.5,295.0,1996
7,Yurik Sarkisian ,Australia,58.6,125.0,155.0,280.0,1996
8,Zoltán Farkas ,Hungary,58.9,130.0,150.0,280.0,1996
9,Bryan Jacob ,United States,58.82,122.5,150.0,272.5,1996
10,Petr Stanislav ,Czech Republic,58.7,112.5,142.5,255.0,1996
11,Raghavan Chanderasekaran ,India,58.89,112.5,140.0,252.5,1996
12,Viktor Sinyak ,Belarus,58.7,112.5,137.5,250.0,1996
13,César Rodríguez ,Puerto Rico,58.21,110.0,132.5,242.5,1996
14,Nuno Alves ,Portugal,58.28,102.5,135.0,237.5,1996
15,Bonayan Al-Dosari ,Saudi Arabia,58.89,102.5,125.0,227.5,1996
16,Moustafa Buihamghet ,Morocco,58.62,90.0,120.0,210.0,1996
1,Naim Süleymanoğlu ,Turkey,63.9,147.5,187.5,335.0,1996
2,Valerios Leonidis ,Greece,63.22,145.0,187.5,332.5,1996
3,Xiao Jiangang ,China,63.15,145.0,177.5,322.5,1996
4,Georgios Tzelilis ,Greece,63.5,145.0,177.5,322.5,1996
5,Adrián Popa ,Hungary,63.93,135.0,172.5,307.5,1996
6,Ilian Iliev ,Bulgaria,63.9,142.5,162.5,305.0,1996
7,Mücahit Yağci ,Turkey,63.46,135.0,167.5,302.5,1996
8,Zoltán Kecskés ,Hungary,63.6,135.0,167.5,302.5,1996
9,Petar Petrov ,Bulgaria,63.68,140.0,160.0,300.0,1996
10,Yoshihisa Miyaji ,Japan,63.63,140.0,157.5,297.5,1996
11,Umar Edelkhanov ,Russia,63.9,132.5,162.5,295.0,1996
12,Eduard Darbinyan ,Armenia,63.61,132.5,160.0,292.5,1996
13,Hwang Hui-yeol ,South Korea,63.88,132.5,160.0,292.5,1996
14,Liao Hsing-Chou ,Chinese Taipei,63.74,125.0,165.0,290.0,1996
15,Masato Tachibana ,Japan,63.63,125.0,162.5,287.5,1996
16,Aleksandr Okhramenko ,Kazakhstan,63.65,127.5,160.0,287.5,1996
17,Vladimir Popov ,Moldova,63.74,130.0,157.5,287.5,1996
18,Marius Cihărean ,Romania,63.9,130.0,155.0,285.0,1996
19,Lucian Maxinianu ,Romania,63.74,130.0,155.0,285.0,1996
20,Gustavo Majauskas ,Argentina,63.99,125.0,160.0,285.0,1996
21,Wojciech Natusiewicz ,Poland,63.62,122.5,160.0,282.5,1996
22,Vernon Patao ,United States,64.0,122.5,160.0,282.5,1996
23,Oleg Yem ,Kazakhstan,63.59,130.0,150.0,280.0,1996
24,Azzedine Basbas ,Algeria,63.76,120.0,160.0,280.0,1996
25,Samson N'Dicka-Matam ,Cameroon,63.95,125.0,155.0,280.0,1996
26,Roger Berrio ,Colombia,63.63,122.5,155.0,277.5,1996
27,Alexi Batista ,Panama,63.87,122.5,150.0,272.5,1996
28,Jean Lavertue ,Canada,63.92,125.0,145.0,270.0,1996
29,Fouad Bouzenada ,Algeria,63.98,115.0,152.5,267.5,1996
30,Alfonso Grullart ,Dominican Republic,63.79,115.0,145.0,260.0,1996
