Rank,Athlete,Group,Bodyweight,1,2,3,Result,1.1,2.1,3.1,Result.1,Total,Year,Nation
1.0,Halil Mutlu (TUR),A,53.91,125.0,130.0,132.5,132.5,152.5,152.5,155.0,155.0,287.5,1996,
2.0,Zhang Xiangsen (CHN),A,53.39,122.5,127.5,130.0,130.0,150.0,155.0,157.5,150.0,280.0,1996,
3.0,Sevdalin Minchev (BUL),A,54.0,117.5,122.5,125.0,125.0,147.5,152.5,157.5,152.5,277.5,1996,
4.0,Lan Shizhang (CHN),A,53.61,120.0,125.0,127.5,125.0,150.0,157.5,162.5,150.0,275.0,1996,
5.0,Traian Cihărean (ROU),A,53.9,115.0,120.0,122.5,120.0,140.0,145.0,152.5,145.0,265.0,1996,
6.0,Ivan Ivanov (BUL),A,53.9,112.5,112.5,112.5,112.5,145.0,145.0,155.0,145.0,257.5,1996,
7.0,Ko Kwang-ku (KOR),A,53.89,115.0,120.0,120.0,115.0,140.0,145.0,145.0,140.0,255.0,1996,
8.0,Juan Fernández (COL),B,53.94,105.0,110.0,112.5,110.0,135.0,140.0,145.0,145.0,255.0,1996,
9.0,Wang Shin-yuan (TPE),B,53.56,105.0,110.0,110.0,105.0,135.0,140.0,145.0,145.0,250.0,1996,
10.0,Toshiyuki Notomi (JPN),A,53.6,105.0,110.0,110.0,110.0,135.0,140.0,140.0,140.0,250.0,1996,
11.0,Eric Bonnel (FRA),B,53.68,105.0,110.0,115.0,115.0,135.0,140.0,140.0,135.0,250.0,1996,
12.0,Hari Setiawan (INA),B,53.9,105.0,105.0,110.0,105.0,145.0,145.0,152.5,145.0,250.0,1996,
13.0,Marek Gorzelniak (POL),A,53.85,102.5,107.5,110.0,107.5,137.5,142.5,142.5,137.5,245.0,1996,
14.0,Viktor Yansky (UZB),B,53.94,102.5,107.5,107.5,107.5,132.5,135.0,140.0,135.0,242.5,1996,
15.0,Giovanni Scarantino (ITA),B,53.89,105.0,110.0,110.0,110.0,125.0,130.0,132.5,130.0,240.0,1996,
16.0,Nelson Castro (COL),B,53.05,97.5,102.5,105.0,105.0,125.0,130.0,135.0,130.0,235.0,1996,
17.0,Johnny Nguyen (AUS),B,54.0,100.0,100.0,105.0,100.0,127.5,132.5,135.0,132.5,232.5,1996,
18.0,Badathala Adisekhar (IND),B,53.93,100.0,105.0,107.5,105.0,125.0,130.0,130.0,125.0,230.0,1996,
19.0,Vladimirs Morozovs (LAT),B,53.81,97.5,97.5,100.0,100.0,117.5,122.5,125.0,122.5,222.5,1996,
20.0,Luis Medrano (GUA),B,53.41,100.0,102.5,102.5,100.0,120.0,120.0,125.0,120.0,220.0,1996,
21.0,Gino Soupprayen Padiatty (MRI),B,53.43,90.0,95.0,97.5,95.0,105.0,105.0,112.5,105.0,200.0,1996,
,Tibor Karczag (HUN),B,53.96,107.5,107.5,107.5,–,–,–,–,–,–,1996,
1.0,Tang Lingsheng (CHN),A,58.61,130.0,135.0,137.5,137.5,162.5,167.5,170.0,170.0,307.5,1996,
2.0,Leonidas Sabanis (GRE),A,58.53,135.0,137.5,140.0,137.5,162.5,167.5,167.5,167.5,305.0,1996,
3.0,Nikolay Peshalov (BUL),A,58.88,132.5,132.5,137.5,137.5,162.5,162.5,165.0,165.0,302.5,1996,
4.0,Hiroshi Ikehata (JPN),B,58.66,125.0,130.0,132.5,132.5,157.5,162.5,165.0,165.0,297.5,1996,
5.0,William Vargas (CUB),A,58.73,130.0,130.0,135.0,135.0,155.0,160.0,162.5,162.5,297.5,1996,
6.0,Xu Dong (CHN),A,58.6,132.5,137.5,137.5,132.5,162.5,170.0,170.0,162.5,295.0,1996,
7.0,Yurik Sarkisian (AUS),A,58.6,125.0,130.0,130.0,125.0,155.0,160.0,160.0,155.0,280.0,1996,
8.0,Zoltán Farkas (HUN),B,58.9,130.0,132.5,132.5,130.0,140.0,145.0,150.0,150.0,280.0,1996,
9.0,Bryan Jacob (USA),B,58.82,117.5,122.5,125.0,122.5,145.0,150.0,152.5,150.0,272.5,1996,
10.0,Petr Stanislav (CZE),B,58.7,105.0,110.0,112.5,112.5,135.0,140.0,142.5,142.5,255.0,1996,
11.0,Raghavan Chanderasekaran (IND),B,58.89,110.0,110.0,112.5,112.5,135.0,140.0,145.0,140.0,252.5,1996,
12.0,Viktor Sinyak (BLR),B,58.7,112.5,120.0,120.0,112.5,132.5,137.5,137.5,137.5,250.0,1996,
13.0,César Rodríguez (PUR),B,58.21,105.0,110.0,110.0,110.0,132.5,137.5,137.5,132.5,242.5,1996,
14.0,Nuno Alves (POR),B,58.28,97.5,100.0,102.5,102.5,130.0,135.0,137.5,135.0,237.5,1996,
15.0,Bonayan Al-Dosari (KSA),B,58.89,95.0,102.5,102.5,102.5,115.0,125.0,125.0,125.0,227.5,1996,
16.0,Moustafa Buihamghet (MAR),B,58.62,90.0,95.0,95.0,90.0,110.0,115.0,120.0,120.0,210.0,1996,
,Chun Byung-kwan (KOR),A,58.95,130.0,135.0,137.5,135.0,165.0,167.5,167.5,–,–,1996,
,Asif Malikov (AZE),A,58.74,125.0,125.0,125.0,–,–,–,–,–,–,1996,
